No;PeriodeTransaksi;UsiaBangunan;Kebisingan;JarakStasiunMRT;NumMinimarket;Humiditas;Latitude;Longitude;Harga;Harga_Lain
114;EARLY;14.8;26.9;393.2606;6;49;24.96172;121.53812;234.8;7.6
348;LATE;17.4;26.9;6488.021;1;56;24.95719;121.47353;235.5;11.2
163;LATE;16;27.2;4066.587;0;58;24.94297;121.50342;235.6;11.6
117;EARLY;30.9;22.7;6396.283;1;52;24.94375;121.47883;244;12.2
227;EARLY;16.5;29;4082.015;0;27;24.94155;121.50381;248.3;12.8
331;EARLY;32;20.6;1156.777;0;46;24.94935;121.53046;252.3;12.8
385;LATE;16.1;21;4066.587;0;45;24.94297;121.50342;255.9;12.9
118;EARLY;13.6;20.1;4197.349;0;41;24.93885;121.50383;261.4;13
50;LATE;29.4;20.3;4510.359;1;32;24.94925;121.49542;261.4;13.2
49;EARLY;24.2;28.5;4605.749;0;38;24.94684;121.49578;262.9;13.4
56;LATE;31.7;29.3;1160.632;0;33;24.94968;121.53009;266.8;13.7
252;LATE;31.7;26.8;1159.454;0;44;24.9496;121.53018;271.3;13.8
171;EARLY;24;23.4;4527.687;0;35;24.94741;121.49628;274.3;14.4
232;LATE;16.2;31;4074.736;0;25;24.94235;121.50357;274.9;14.7
250;LATE;18;30.6;6306.153;1;36;24.95743;121.47516;275.6;15
410;EARLY;13.7;22.3;4082.015;0;30;24.94155;121.50381;277;15.4
181;LATE;26.9;30.2;4449.27;0;50;24.94898;121.49621;277.4;15.5
156;EARLY;13.8;28.4;4082.015;0;28;24.94155;121.50381;277.6;15.6
332;EARLY;25.6;30.5;4519.69;0;34;24.94826;121.49587;277.9;15.6
41;EARLY;13.6;29.4;4082.015;0;25;24.94155;121.50381;279;15.9
94;LATE;31.9;21.5;1146.329;0;40;24.9492;121.53076;279.4;16.1
299;EARLY;16.7;24.2;4082.015;0;51;24.94155;121.50381;280.4;16.7
233;LATE;27.1;26;4412.765;1;34;24.95032;121.49587;282.5;17.4
256;EARLY;31.5;24.5;5512.038;1;57;24.95095;121.48458;283.1;17.4
84;LATE;25.3;25.7;2707.392;3;49;24.96056;121.50831;283.4;17.7
42;EARLY;16.8;28.3;4066.587;0;48;24.94297;121.50342;283.6;18.2
88;LATE;16.9;26.2;4066.587;0;50;24.94297;121.50342;283.7;18.3
157;LATE;30.7;22.7;1264.73;0;46;24.94883;121.52954;284.3;18.3
321;LATE;13.5;23.8;4197.349;0;40;24.93885;121.50383;284.4;18.6
9;EARLY;31.7;25;5512.038;1;28;24.95095;121.48458;284.8;18.8
184;EARLY;17;21;4082.015;0;35;24.94155;121.50381;285.4;18.8
230;LATE;31;29.4;1156.412;0;40;24.9489;121.53095;287.7;19
310;EARLY;30.3;27.9;1264.73;0;45;24.94883;121.52954;289.8;19.1
177;LATE;13.9;25.5;4573.779;0;59;24.94867;121.49507;290.5;19.2
330;EARLY;13.6;24.6;4197.349;0;42;24.93885;121.50383;290.7;19.2
74;EARLY;13.8;20.5;4082.015;0;49;24.94155;121.50381;291.2;20
190;LATE;16.3;21.2;4066.587;0;42;24.94297;121.50342;292.3;20.5
52;EARLY;31.3;30.3;1758.406;1;39;24.95402;121.55282;292.7;20.7
155;EARLY;16.9;23.3;4066.587;0;52;24.94297;121.50342;293;20.7
136;LATE;18.9;23.3;1009.235;0;26;24.96357;121.54951;293.2;20.8
215;LATE;18.1;23.9;1783.18;3;37;24.96731;121.51486;293.2;20.9
368;LATE;15;23.4;1828.319;2;25;24.96464;121.51531;293.3;20.9
61;EARLY;11;27.9;1931.207;2;51;24.96365;121.51471;293.4;21.3
206;EARLY;12.8;24.4;1449.722;3;37;24.97289;121.51728;293.8;21.4
186;LATE;31.4;28.7;1447.286;3;43;24.97285;121.5173;293.9;21.5
245;EARLY;4.8;29;1559.827;3;33;24.97213;121.51627;294;21.7
93;LATE;20.6;23.1;2469.645;4;48;24.96108;121.51046;294.7;21.8
185;LATE;14.1;20.1;2615.465;0;40;24.95495;121.56174;294.9;21.8
296;EARLY;18.2;23.9;2179.59;3;49;24.96299;121.51252;294.9;21.8
188;EARLY;8.9;30.1;3078.176;0;49;24.95464;121.56627;295.2;22
10;EARLY;17.9;22.1;1783.18;3;47;24.96731;121.51486;295.8;22.1
31;EARLY;25.9;30.7;4519.69;0;57;24.94826;121.49587;296;22.1
249;EARLY;19;24.2;1009.235;0;25;24.96357;121.54951;296.8;22.3
408;EARLY;5.2;27.1;2408.993;0;39;24.95505;121.55964;298.4;22.3
59;EARLY;30.3;21.8;4510.359;1;43;24.94925;121.49542;298.6;22.6
335;LATE;30;27.4;1013.341;5;35;24.99006;121.5346;298.7;22.8
370;LATE;20.2;24.3;2185.128;3;28;24.96322;121.51237;299.2;22.8
37;LATE;14.7;28.6;1935.009;2;37;24.96386;121.51458;299.5;22.9
270;EARLY;17.6;28.2;837.7233;0;29;24.96334;121.54767;300;23
399;EARLY;14.7;23.2;1717.193;2;28;24.96447;121.51649;301;23
113;EARLY;9.9;22.9;2102.427;3;60;24.96044;121.51462;301.1;23.1
248;EARLY;21.7;29.9;1055.067;0;48;24.96211;121.54928;301.3;23.1
303;EARLY;16.5;30.2;2288.011;3;53;24.95885;121.51359;301.7;23.2
170;EARLY;8.4;26.4;1962.628;1;41;24.95468;121.55481;301.8;23.5
284;EARLY;33.5;25.8;1978.671;2;26;24.98674;121.51844;302;23.5
